,restaurante,seccion,platos,precios,platos_lower,seccion_lower,Categorias
0,Bosco de Lobos,Tapas,Croquetas de berenjena y parmigiano (6 unidades),6 €,croquetas de berenjena y parmigiano (6 unidades),tapas,Entrantes
1,Bosco de Lobos,Tapas,"Focaccia de stracchino, prosciutto di parma, rúcula y tomate semi-seco",8 €,"focaccia de stracchino, prosciutto di parma, rúcula y tomate semi-seco",tapas,Entrantes
2,Bosco de Lobos,Tapas,"Mejillones con hierbas, tomate cherry, Martini blanco y cítrico",9 €,"mejillones con hierbas, tomate cherry, martini blanco y cítrico",tapas,Entrantes
3,Bosco de Lobos,Tapas,Alcachofas fritas,7 €,alcachofas fritas,tapas,Entrantes
4,Bosco de Lobos,Tapas,Patatas Buthan (patatas bravas del Himalaya),8 €,patatas buthan (patatas bravas del himalaya),tapas,Entrantes
5,Bosco de Lobos,Tapas,"Tortitas de maíz, sashimi de atún y mayonesa de chipotle",11 €,"tortitas de maíz, sashimi de atún y mayonesa de chipotle",tapas,Entrantes
6,Bosco de Lobos,Tapas,Ceviche de pescado blanco con ají amarillo. naranja y sal negra,10 €,ceviche de pescado blanco con ají amarillo. naranja y sal negra,tapas,Entrantes
7,Bosco de Lobos,Tapas,Fritura de calamar y lima,12 €,fritura de calamar y lima,tapas,Entrantes
8,Bosco de Lobos,Tapas,Canelón de espinacas con pasas y piñones,7 €,canelón de espinacas con pasas y piñones,tapas,Entrantes
9,Bosco de Lobos,Sopas & Ensaladas,Ensalada templada de quinoa con verduras crujientes,11 €,ensalada templada de quinoa con verduras crujientes,sopas & ensaladas,Sopa
10,Bosco de Lobos,Sopas & Ensaladas,Ensalada de burrata con berenjena ahumada,12 €,ensalada de burrata con berenjena ahumada,sopas & ensaladas,Sopa
11,Bosco de Lobos,Sopas & Ensaladas,Cogollos templados a la bagnacauda (salsa de anchoas),8 €,cogollos templados a la bagnacauda (salsa de anchoas),sopas & ensaladas,Sopa
12,Bosco de Lobos,Sopas & Ensaladas,Ensalada de pimientos asados con atún confitado en escabeche,11 €,ensalada de pimientos asados con atún confitado en escabeche,sopas & ensaladas,Sopa
13,Bosco de Lobos,Carpaccio,Carpaccio clásico de ternera con salsa cipriani,13 €,carpaccio clásico de ternera con salsa cipriani,carpaccio,Carne
14,Bosco de Lobos,Carpaccio,"Carpaccio de pescado blanco con salsa oriental, jengibre y chili",12 €,"carpaccio de pescado blanco con salsa oriental, jengibre y chili",carpaccio,Pescado
15,Bosco de Lobos,Carpaccio,Tartar de atún con cítricos,14 €,tartar de atún con cítricos,carpaccio,Postres
16,Bosco de Lobos,Pizzas,Verduas a la brasa con masa de harina integral,13 €,verduas a la brasa con masa de harina integral,pizzas,Pizza
17,Bosco de Lobos,Pizzas,Margherita,10 €,margherita,pizzas,Pizza
18,Bosco de Lobos,Pizzas,"Porchetta, berenjena con salsa de miel y mostaza",13 €,"porchetta, berenjena con salsa de miel y mostaza",pizzas,Pizza
19,Bosco de Lobos,Pizzas,"Marinara (sin queso, con anchoas y alcaparras)",13 €,"marinara (sin queso, con anchoas y alcaparras)",pizzas,Pizza
20,Bosco de Lobos,Pizzas,Calzone cotto e funghi,12 €,calzone cotto e funghi,pizzas,Pizza
21,Bosco de Lobos,Pizzas,"Ricotta, anchoas y flor de calabacín",14 €,"ricotta, anchoas y flor de calabacín",pizzas,Pizza
22,Bosco de Lobos,Pizzas,Pizza de panceta y espárragos,12 €,pizza de panceta y espárragos,pizzas,Pizza
23,Bosco de Lobos,Pastas,Lasagna clásica bolognesa,11 €,lasagna clásica bolognesa,pastas,None
24,Bosco de Lobos,Pastas,Pappardelle con ragú de carne al vino tinto,12 €,pappardelle con ragú de carne al vino tinto,pastas,None
25,Bosco de Lobos,Pastas,Pappardelle al nero di sepia,13 €,pappardelle al nero di sepia,pastas,Pescado
26,Bosco de Lobos,Pastas,Spaghetti carbonara,13 €,spaghetti carbonara,pastas,None
27,Bosco de Lobos,Pastas,Spaghetti vongole (tomates cherry y almejas),14 €,spaghetti vongole (tomates cherry y almejas),pastas,Marisco
